"date","BTC","QQQ","GLD"
2020-03-19,6191.19287109375,171.651123046875,138.039993286133
2020-03-20,6198.7783203125,164.926498413086,140.110000610352
2020-03-23,6416.31494140625,165.04557800293,146.300003051758
2020-03-24,6734.8037109375,177.826293945312,153.399993896484
2020-03-25,6681.06298828125,176.509582519531,151.300003051758
2020-03-26,6716.4404296875,185.804580688477,153.240005493164
2020-03-27,6469.79833984375,179.414215087891,152.25
2020-03-30,6429.841796875,185.940200805664,152.919998168945
2020-03-31,6438.64453125,184.352233886719,148.050003051758
2020-04-01,6606.7763671875,176.519241333008,149.449996948242
2020-04-02,6793.62451171875,180.101699829102,151.899993896484
2020-04-03,6733.38720703125,177.545532226562,152.649993896484
2020-04-06,7271.78125,190.23908996582,156.880004882812
2020-04-07,7176.41455078125,190.161682128906,156.039993286133
2020-04-08,7334.0986328125,194.19921875,154.649993896484
2020-04-09,7302.08935546875,194.479995727539,158.690002441406
2020-04-13,6845.03759765625,196.581085205078,161.410003662109
2020-04-14,6842.427734375,205.130615234375,162.679992675781
2020-04-15,6642.10986328125,202.777755737305,161.850006103516
2020-04-16,7116.80419921875,206.476455688477,161.710006713867
2020-04-17,7096.1845703125,208.451644897461,158.570007324219
2020-04-20,6881.95849609375,205.982650756836,159.699996948242
2020-04-21,6880.3232421875,198.381988525391,158.610000610352
2020-04-22,7117.20751953125,204.268859863281,161.729995727539
2020-04-23,7429.724609375,203.833160400391,163.339996337891
2020-04-24,7550.90087890625,207.047729492188,162.639999389648
2020-04-27,7795.60107421875,208.713104248047,161.559997558594
2020-04-28,7807.05859375,204.782012939453,160.839996337891
2020-04-29,8801.0380859375,212.043792724609,161.729995727539
2020-04-30,8658.5537109375,211.956695556641,158.800003051758
2020-05-01,8864.7666015625,205.982650756836,159.779998779297
2020-05-04,8912.654296875,208.383880615234,160.339996337891
2020-05-05,9003.0703125,210.746383666992,161.020004272461
2020-05-06,9268.76171875,212.043792724609,158.949996948242
2020-05-07,9951.5185546875,214.77424621582,161.389999389648
2020-05-08,9842.666015625,217.717666625977,160.419998168945
2020-05-11,8601.7958984375,219.663848876953,159.419998168945
2020-05-12,8804.4775390625,215.064727783203,160.039993286133
2020-05-13,9269.9873046875,212.373046875,161.580001831055
2020-05-14,9733.7216796875,214.783905029297,163.009994506836
2020-05-15,9328.197265625,216.178253173828,163.929992675781
2020-05-18,9726.5751953125,220.206039428711,162.690002441406
2020-05-19,9729.0380859375,219.654144287109,164.259994506836
2020-05-20,9522.9814453125,224.040222167969,164.649993896484
2020-05-21,9081.76171875,221.600296020508,162.25
2020-05-22,9182.5771484375,222.365234375,163.210006713867
2020-05-26,8835.052734375,221.764892578125,160.889999389648
2020-05-27,9181.017578125,222.97526550293,161.179992675781
2020-05-28,9525.7509765625,222.68473815918,161.720001220703
2020-05-29,9439.1240234375,225.947677612305,162.910003662109
2020-06-01,10167.2685546875,226.625473022461,163.660003662109
2020-06-02,9529.8037109375,228.145584106445,162.600006103516
2020-06-03,9656.7177734375,229.171920776367,159.600006103516
2020-06-04,9800.63671875,227.564636230469,161.279998779297
2020-06-05,9665.533203125,232.076629638672,158.009994506836
2020-06-08,9771.4892578125,233.877563476562,159.720001220703
2020-06-09,9795.7001953125,235.571960449219,161.259994506836
2020-06-10,9870.0947265625,238.399200439453,163.570007324219
2020-06-11,9321.78125,226.58674621582,162.389999389648
2020-06-12,9480.84375,228.387649536133,162.619995117188
2020-06-15,9450.7021484375,231.166488647461,162.330001831055
2020-06-16,9538.0244140625,235.136260986328,162.25
2020-06-17,9480.2548828125,235.881790161133,162.559997558594
2020-06-18,9411.8408203125,236.520812988281,162.240005493164
2020-06-19,9288.0185546875,236.482116699219,164.029998779297
2020-06-22,9648.7177734375,239.318176269531,165.089996337891
2020-06-23,9629.658203125,241.354949951172,166.479995727539
2020-06-24,9313.6103515625,236.379333496094,165.899993896484
2020-06-25,9264.8134765625,238.629486083984,165.800003051758
2020-06-26,9162.91796875,232.994277954102,166.539993286133
2020-06-29,9190.8544921875,235.535461425781,166.630004882812
2020-06-30,9137.9931640625,240.152267456055,167.369995117188
2020-07-01,9228.3251953125,242.955337524414,166.619995117188
2020-07-02,9123.41015625,244.604217529297,166.979995727539
2020-07-06,9375.474609375,250.617691040039,167.979995727539
2020-07-07,9252.27734375,248.891296386719,169.039993286133
2020-07-08,9428.3330078125,252.169540405273,170.089996337891
2020-07-09,9277.9677734375,254.293716430664,169.630004882812
2020-07-10,9278.8076171875,256.029907226562,169.190002441406
2020-07-13,9243.6142578125,250.763168334961,169.399993896484
2020-07-14,9243.2138671875,252.538162231445,170.190002441406
2020-07-15,9192.8369140625,253.052230834961,170.339996337891
2020-07-16,9132.2275390625,251.325714111328,168.729995727539
2020-07-17,9151.392578125,251.616806030273,170.119995117188
2020-07-20,9164.2314453125,258.755340576172,170.940002441406
2020-07-21,9374.8876953125,256.059020996094,173
2020-07-22,9525.36328125,256.960968017578,175.630004882812
2020-07-23,9581.072265625,250.249160766602,177.179992675781
2020-07-24,9536.892578125,247.872833251953,178.699996948242
2020-07-27,10990.873046875,252.295669555664,182.229995727539
2020-07-28,10912.8232421875,249.085235595703,183.75
2020-07-29,11100.4677734375,251.956161499023,185.130004882812
2020-07-30,11111.2138671875,253.275253295898,183.759994506836
2020-07-31,11323.466796875,257.795135498047,185.429992675781
2020-08-03,11246.3486328125,261.277160644531,185.639999389648
2020-08-04,11205.892578125,262.247131347656,189.589996337891
2020-08-05,11747.0224609375,262.896911621094,191.350006103516
2020-08-06,11779.7734375,266.378936767578,193.889999389648
2020-08-07,11601.47265625,263.304290771484,190.809997558594
2020-08-10,11878.111328125,262.179168701172,190.149993896484
2020-08-11,11410.525390625,257.213195800781,179.940002441406
2020-08-12,11584.9345703125,263.682525634766,179.100006103516
2020-08-13,11784.1376953125,264.283935546875,183.330001831055
2020-08-14,11768.87109375,263.973541259766,182.539993286133
2020-08-17,12254.40234375,267.038513183594,186.5
2020-08-18,11991.2333984375,269.608734130859,188.179992675781
2020-08-19,11758.283203125,267.794921875,182.240005493164
2020-08-20,11878.3720703125,271.509735107422,183.5
2020-08-21,11592.4892578125,273.391418457031,182.029998779297
2020-08-24,11774.595703125,275.098510742188,181
2020-08-25,11366.134765625,277.261383056641,181.220001220703
2020-08-26,11488.36328125,283.177947998047,183.360000610352
2020-08-27,11323.3974609375,282.295349121094,181.240005493164
2020-08-28,11542.5,283.730834960938,184.389999389648
2020-08-31,11680.8203125,286.010101318359,184.830001831055
2020-09-01,11970.478515625,290.898498535156,185.050003051758
2020-09-02,11414.0341796875,293.653106689453,182.619995117188
2020-09-03,10245.296875,278.764770507812,181.139999389648
2020-09-04,10511.8134765625,275.050048828125,181.639999389648
2020-09-08,10131.5166015625,261.829986572266,181.289993286133
2020-09-09,10242.34765625,269.521484375,183.050003051758
2020-09-10,10363.138671875,264.148193359375,182.460006713867
2020-09-11,10400.9150390625,262.315002441406,182.449996948242
2020-09-14,10680.837890625,266.88330078125,183.889999389648
2020-09-15,10796.951171875,270.665893554688,183.449996948242
2020-09-16,10974.9052734375,266.349822998047,183.970001220703
2020-09-17,10948.990234375,262.188842773438,182.960006713867
2020-09-18,10944.5859375,258.842651367188,183.199996948242
2020-09-21,10462.259765625,259.463439941406,179.520004272461
2020-09-22,10538.4599609375,264.283935546875,178.649993896484
2020-09-23,10246.1865234375,256.214141845703,174.789993286133
2020-09-24,10760.06640625,257.407165527344,175.440002441406
2020-09-25,10692.716796875,263.3916015625,174.940002441406
2020-09-28,10709.65234375,268.861999511719,176.699996948242
2020-09-29,10844.640625,267.649505615234,178.190002441406
2020-09-30,10784.4912109375,269.482727050781,177.119995117188
2020-10-01,10619.4521484375,273.760070800781,178.699996948242
2020-10-02,10575.974609375,266.058868408203,178.539993286133
2020-10-05,10793.33984375,271.73291015625,179.410003662109
2020-10-06,10604.40625,266.88330078125,177.300003051758
2020-10-07,10668.96875,271.500152587891,177.220001220703
2020-10-08,10915.685546875,272.945281982422,177.850006103516
2020-10-09,11064.4580078125,277.115875244141,181.080001831055
2020-10-12,11555.36328125,285.670654296875,180.559997558594
2020-10-13,11425.8994140625,285.660888671875,177.720001220703
2020-10-14,11429.5068359375,283.27490234375,178.270004272461
2020-10-15,11495.349609375,281.373901367188,178.919998168945
2020-10-16,11322.123046875,279.831726074219,178.300003051758
2020-10-19,11742.037109375,275.263366699219,178.389999389648
2020-10-20,11916.3349609375,275.855041503906,179.25
2020-10-21,12823.689453125,275.641662597656,180.600006103516
2020-10-22,12965.8916015625,275.632019042969,178.830001831055
2020-10-23,12931.5390625,276.175140380859,178.639999389648
2020-10-26,13075.248046875,272.033538818359,178.550003051758
2020-10-27,13654.21875,274.157623291016,179.020004272461
2020-10-28,13271.28515625,263.469116210938,176.130004882812
2020-10-29,13437.8828125,268.076263427734,175.399993896484
2020-10-30,13546.5224609375,261.277160644531,176.199996948242
2020-11-02,13550.4892578125,261.859161376953,177.910003662109
2020-11-03,13950.30078125,266.388610839844,178.919998168945
2020-11-04,14133.70703125,278.279846191406,178.820007324219
2020-11-05,15579.8486328125,285.534820556641,182.929992675781
2020-11-06,15565.880859375,285.748260498047,183.190002441406
